,name,country,wikiurl,category,period,born,died
475,hobelwerk,switzerland,https://de.wikipedia.org/wiki/Bien-Zenker?action=raw,unternehmen,1906,,
476,haarbach,switzerland,https://de.wikipedia.org/wiki/Haarbach?action=raw,gemeinde in deutschland,,,
480,hardau,switzerland,https://en.wikipedia.org/wiki/Haddad?action=raw,surname,,,
482,wolfbühl,switzerland,https://de.wikipedia.org/wiki/Maierh%C3%B6fen?action=raw,gemeinde in deutschland,,,
485,güter,switzerland,https://fr.wikipedia.org/wiki/Guts_(Berserk)?action=raw,personnage (fiction),,,
491,wingertli,switzerland,https://de.wikipedia.org/wiki/Waser_(Winterthur)?action=raw,quartier von winterthur,,,
492,frieden,switzerland,https://fr.wikipedia.org/wiki/Ein_bi%C3%9Fchen_Frieden?action=raw,musique (œuvre),,,
493,erlen,switzerland,https://de.wikipedia.org/wiki/Erlen_(Gattung)?action=raw,erlen,,,
494,hofwiesen,switzerland,https://fr.wikipedia.org/wiki/Gera?action=raw,commune d'allemagne,,,
497,dättnauer,switzerland,https://de.wikipedia.org/wiki/D%C3%A4ttnau?action=raw,quartier von winterthur,,,
498,strittacker,switzerland,https://de.wikipedia.org/wiki/T%C3%B6ss_(Winterthur)?action=raw,stadtkreis von winterthur,,,
499,sandgruben,switzerland,https://en.wikipedia.org/wiki/2015%E2%80%9316_Swiss_Cup?action=raw,football tournament season,,,
500,frauenfelder,switzerland,https://de.wikipedia.org/wiki/Frauenfeld?action=raw,ort in der schweiz,,,
501,technorama,switzerland,https://de.wikipedia.org/wiki/Swiss_Science_Center_Technorama?action=raw,museum,1982,,
502,delta,switzerland,https://de.wikipedia.org/wiki/Delta?action=raw,griechischer buchstabe,,,
504,tegerloo,switzerland,https://en.wikipedia.org/wiki/Temerloh?action=raw,settlement,1889,,
506,pfaffenwiesen,switzerland,https://de.wikipedia.org/wiki/Frankfurt-Zeilsheim?action=raw,frankfurter stadtteil,,,
507,wallrüti,switzerland,https://en.wikipedia.org/wiki/Winterthur?action=raw,swiss town,,,
511,ruedi,switzerland,https://en.wikipedia.org/wiki/Rudi?action=raw,musical artist  ,,,
512,rösli,switzerland,https://fr.wikipedia.org/wiki/R%C3%B6sli_Rominger?action=raw,sportif,,,
513,hegmatten,switzerland,https://de.wikipedia.org/wiki/Flugplatz_Hegmatten?action=raw,flughafen,,,
515,berner nord,switzerland,https://fr.wikipedia.org/wiki/Berne?action=raw,commune de suisse,,,
516,lugg,switzerland,https://fr.wikipedia.org/wiki/Lugg?action=raw,cours d'eau,,,
517,altstetten,switzerland,https://de.wikipedia.org/wiki/Altstetten?action=raw,quartier von zürich,,,
520,neugut,switzerland,https://it.wikipedia.org/wiki/Tumore_dell%27intestino_tenue?action=raw,malattia |,,,
522,forch,switzerland,https://de.wikipedia.org/wiki/Forch?action=raw,pass,,,
524,kies,switzerland,https://fr.wikipedia.org/wiki/Samsung_Kies?action=raw,logiciel,,,
526,meili,switzerland,https://en.wikipedia.org/wiki/Central_Park_jogger_case?action=raw,event,,,
527,blatter,switzerland,https://de.wikipedia.org/wiki/Sepp_Blatter?action=raw,"schweizer fußballfunktionär, präsident des weltfußballverbandes fifa",,1936,
528,brauer,switzerland,https://de.wikipedia.org/wiki/Arik_Brauer?action=raw,"österreichischer maler, sänger und dichter",,1929,
529,malz,switzerland,https://fr.wikipedia.org/wiki/Mali?action=raw,pays,,,
531,hopfen,switzerland,https://de.wikipedia.org/wiki/Hopfen?action=raw,hopfen,,,
532,rychenberg,switzerland,https://de.wikipedia.org/wiki/Kantonsschule_Rychenberg?action=raw,schule,,,
533,winterthurer,switzerland,https://de.wikipedia.org/wiki/Winterthur?action=raw,ort in der schweiz,,,
537,tierheim,switzerland,https://fr.wikipedia.org/wiki/R%C3%A9seau_de_bus_de_Berlin?action=raw,réseau de transport en commun,,,
539,pilger,switzerland,https://en.wikipedia.org/wiki/John_Pilger?action=raw,person,,1939,
542,étang,switzerland,https://en.wikipedia.org/wiki/%C3%89tang_de_Berre?action=raw,lake,,,
543,châtelaine,switzerland,https://fr.wikipedia.org/wiki/Ch%C3%A2telaine?action=raw,presse écrite,,,
545,neumarkt,switzerland,https://de.wikipedia.org/wiki/Neumarkt_in_der_Oberpfalz?action=raw,gemeinde in deutschland,,,
547,untertor,switzerland,https://fr.wikipedia.org/wiki/Pont_de_l%27Untertor?action=raw,pont,1490,,
552,eichwald,switzerland,https://de.wikipedia.org/wiki/Eichwalde?action=raw,gemeinde in deutschland,,,
553,reutlinger,switzerland,https://de.wikipedia.org/wiki/Reutlingen?action=raw,gemeinde in deutschland,,,
557,albani,switzerland,https://de.wikipedia.org/wiki/Albanien?action=raw,staat,,,
562,nussbaumtreppe,switzerland,https://de.wikipedia.org/wiki/Schloss_L%C3%B6wenberg_(Murten)?action=raw,burg,,,
568,lindbergwald,switzerland,https://de.wikipedia.org/wiki/Winterthur?action=raw,ort in der schweiz,,,
573,grabenacker,switzerland,https://de.wikipedia.org/wiki/Guggenb%C3%BChl?action=raw,quartier von winterthur,,,
575,stadler,switzerland,https://de.wikipedia.org/wiki/Stadler_Rail?action=raw,unternehmen,1997,,
576,binzhof,switzerland,https://en.wikipedia.org/wiki/Binzhou?action=raw,settlement,,,
577,morgen,switzerland,https://en.wikipedia.org/wiki/Morgen!?action=raw,musical composition,,,
579,obstgarten,switzerland,https://fr.wikipedia.org/wiki/Le_Verger_(jeu)?action=raw,jeu,,,
581,farmer,switzerland,https://fr.wikipedia.org/wiki/Myl%C3%A8ne_Farmer?action=raw,musique (artiste),,1961,
583,guggenbühl,switzerland,https://de.wikipedia.org/wiki/Guggenb%C3%BChl?action=raw,quartier von winterthur,,,
585,sonnenblick,switzerland,https://fr.wikipedia.org/wiki/Dobutamine?action=raw,chimie,,,
586,mooswiesen,switzerland,https://fr.wikipedia.org/wiki/Leutkirch_im_Allg%C3%A4u?action=raw,commune d'allemagne,,,
588,arven,switzerland,https://de.wikipedia.org/wiki/Arven?action=raw,band,,,
589,eiben,switzerland,https://de.wikipedia.org/wiki/Eiben?action=raw,eiben,,,
590,salomon-hirzel-,switzerland,https://de.wikipedia.org/wiki/Salomon_Hirzel_(Verleger)?action=raw,schweizer verleger,,1804,1877
591,lindberg,switzerland,https://de.wikipedia.org/wiki/Lindberg?action=raw,gemeinde in deutschland,,,
592,gebhart,switzerland,https://de.wikipedia.org/wiki/Timo_Gebhart?action=raw,deutscher fußballspieler,,1989,
593,römer,switzerland,https://fr.wikipedia.org/wiki/Roms?action=raw,groupe ethnique,,,
595,bungert,switzerland,https://de.wikipedia.org/wiki/Niko_Bungert?action=raw,deutscher fußballspieler,,1986,
599,pünten,switzerland,https://fr.wikipedia.org/wiki/Abdelhak_Nouri?action=raw,footballeur,,1997,
